Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,1.0224,0,0.00034063,1.7775e-11,0,1.0884e-27,1,0,0,0,0,0,0.50025,1.1985e+06
2,8.0369e-25,0.95318,-1.3125e-08,2.7797e-08,0,1.7021e-24,0,1,0,0,0,0,0.43301,3.4036e+06
3,-6.1202e-17,0,0.9995,-2.1169e-09,-0.10473,-1.2962e-25,0,0,1,0,0,0,0.77849,1.1513e+07
4,2.9038e-27,0,-4.7423e-11,0.99801,0,-0.010799,0,0,0,1,0,0,0.50311,2.0945e+06
5,-5.7308e-27,0,9.3591e-11,2.5353e-10,0.99409,1.5524e-26,0,0,0,0,1,0,0.25,3.9878e+06
6,8.8161e-27,0,-1.4398e-10,-0.00084844,0,1.0057,0,0,0,0,0,1,0.39493,1.1161e+06
