Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.99747,-0.00035525,0.00095711,-0.0025296,-0.0006154,-0.00080906,1,0,0,0,0,0,0.50433,4.9853e+06
2,-0.00027916,0.99855,1.9134e-09,-0.00083746,-0.00083747,-9.5131e-10,0,1,0,0,0,0,0.28954,7.1097e+06
3,4.7217e-13,-5.4189e-14,0.99495,-1.1133e-13,5.9087e-08,3.4966e-13,0,0,1,0,0,0,1,-25254
4,-0.00010012,-0.00011952,4.6674e-05,0.9995,-6.7764e-06,-0.00012409,0,0,0,1,0,0,0.10005,8.9997e+06
5,-4.7672e-13,-1.7507e-13,5.7258e-08,-6.7715e-17,0.99749,1.2136e-13,0,0,0,0,1,0,0.5,4.9937e+06
6,-0.00052216,2.7271e-09,0.00078325,-0.0015665,3.5005e-09,0.99801,0,0,0,0,0,1,0.39614,6.0494e+06
