Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,1.0096,1.7624e-08,0.0023612,-0.002835,-1.6045e-08,3.8923e-08,1,0,0,0,0,0,0.50035,7.8409e+05
2,-1.0753e-06,1.1012,-0.0098691,-0.0074105,-3.8022e-07,-9.3224e-07,0,1,0,0,0,0,109.86,1.2016e+07
3,2.078e-07,1.1229e-07,1.0002,0.0016836,0.0047984,9.9263e-08,0,0,1,0,0,0,-1.0065,5.2631e+05
4,-1.16e-08,-1.2941e-08,0.0010212,1.0001,0.055676,1.9733e-08,0,0,0,1,0,0,-1034.9,5.1138e+06
5,-1.6476e-07,-1.0868e-08,0.00034094,-0.0012578,0.94524,-3.8324e-08,0,0,0,0,1,0,-2767,6.5748e+06
6,-6.774e-08,-8.9461e-08,0.00056419,-0.00094681,-1.1715e-08,1.0255,0,0,0,0,0,1,-1816.5,1.7755e+06
