Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,fval
1,1.0181,7.1198e-11,0.00067809,-3.5599e-11,0,-2.1798e-27,1,0,0,0,0,0,1.2503e+06
2,-2.2494e-26,0.9964,3.6735e-10,-0.0071673,0,-4.3887e-19,0,1,0,0,0,0,1.3505e+06
3,-6.1171e-17,0.0022601,0.999,0.0045021,0,2.7568e-19,0,0,1,0,0,0,1.0246e+06
4,3.2955e-26,-0.045601,-5.382e-10,0.90518,0,5.5426e-17,0,0,0,1,0,0,1.8501e+07
5,-2.3899e-26,-1.8124e-10,3.903e-10,9.062e-11,0.94548,5.5489e-27,0,0,0,0,1,0,6.5479e+06
6,-9.4616e-25,-0.1522,1.5452e-08,-0.30471,0,0.90101,0,0,0,0,0,1,1.2642e+08
