Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.57735,0.57735,-6.2917e-13,0.00017036,0.00017036,-0.00034071,0,0,0,0,0,0,0.86564,86586
2,0.22224,-0.22224,0.77776,-0.00014,-0.00014,0.00028,0,0,0,0,0,0,0.81789,81804
3,5.166e-05,-5.166e-05,-5.166e-05,-0.33337,-0.33337,-0.33326,0,0,0,0,0,0,0.99991,99996
4,8.9977e-06,-8.9943e-06,-8.9941e-06,1,-0.99999,-1.3903e-05,0,0,0,0,0,0,0.5,50000
5,-3.3098e-11,3.3344e-11,3.3436e-11,1.1547,1.1547,-2.3095,0,0,0,0,0,0,0.2165,21650
6,0.76981,-0.76981,-0.76981,-3.3162e-05,-3.3158e-05,6.6318e-05,0,0,0,0,0,0,0.433,43300
