Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,fval
1,0.99911,1.4934e-11,0.00066541,-7.4668e-12,0,-4.5721e-28,1,0,0,0,0,0,8.8766e+05
2,-0.00234,0.88798,-0.027047,-0.26288,5.4997e-05,-0.0023156,0,1,0,0,0,0,8.4294e+07
3,-6.1168e-17,-0.00062848,0.99895,-0.0012353,0,-7.5642e-20,0,0,1,0,0,0,1.0009e+06
4,5.4556e-20,-0.0061039,-0.00089097,0.9905,0,6.065e-17,0,0,0,1,0,0,9.253e+06
5,-8.7782e-27,-2.7544e-10,1.4336e-10,1.3772e-10,0.99602,8.4328e-27,0,0,0,0,1,0,3.9841e+06
6,-1.871e-05,-0.1469,0.0075837,-0.29255,-4.0837e-06,0.8661,0,0,0,0,0,1,1.2579e+08
