Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,fval
1,0.33158,0.33158,0.33158,0.33158,0.46846,0.46846,0,0,0,0,0,0,9.0672e+05
2,-0.7166,0.7166,-0.7166,0.7166,0.13633,-0.13633,0,0,0,0,0,0,1.3725e+07
3,0.081607,0.081607,-0.081607,-0.081607,-0.7064,-0.7064,0,0,0,0,0,0,7.6854e+06
4,-1.001,1.001,-1.001,1.001,1.2626,-1.2626,0,0,0,0,0,0,2.1373e+07
5,-1.0023,-1.0023,1.0023,1.0023,1.3461e-10,-1.3116e-10,0,0,0,0,0,0,4.0232e+06
6,-0.36656,0.36656,0.36656,-0.36656,0.1036,-0.1036,0,0,0,0,0,0,1.2566e+08
