Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,fval
1,0.99989,-0.00015592,0.00019272,1.7628e-05,-8.9276e-05,-0.00033506,1,0,0,0,0,0,9.45e+05
2,-4.9166e-05,0.9983,-0.00060353,0.00052049,9.4687e-06,3.5537e-05,0,1,0,0,0,0,1.7587e+06
3,0.00014392,-0.00030565,0.9995,-0.00010325,2.1793e-06,8.1792e-06,0,0,1,0,0,0,6.0308e+05
4,7.6722e-05,-0.00020635,-0.00021943,0.99857,-1.6939e-07,-6.3575e-07,0,0,0,1,0,0,1.9704e+06
5,5.2737e-05,0.00030195,0.00011756,-7.3532e-05,0.066223,0.24854,0,0,0,0,1,0,9.3424e+08
6,-5.2357e-05,-0.00032372,-3.7814e-05,-5.3385e-05,0.24864,0.93317,0,0,0,0,0,1,6.7044e+07
