Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.99747,4.6162e-11,6.4033e-11,-0.0025254,-2.6652e-11,1.761e-10,1,0,0,0,0,0,0.50254,4.9874e+06
2,1.0684e-09,0.74709,1.0198e-09,-3.5614e-10,-0.43133,1.2064e-09,0,1,0,0,0,0,0.68301,2.5422e+08
3,-7.1368e-17,-3.0772e-17,0.99495,-1.4451e-10,1.7766e-17,1.6828e-16,0,0,1,0,0,0,1,-25254
4,-5.2315e-16,-7.6429e-17,8.5451e-11,0.99749,4.4126e-17,3.4347e-17,0,0,0,1,0,0,0.5,4.9937e+06
5,2.0138e-09,-0.42398,2.4017e-09,-6.7129e-10,0.24478,2.8412e-09,0,0,0,0,1,0,0.68301,7.499e+08
6,6.6624e-11,-4.4995e-12,0.00078108,1.1894e-11,2.5978e-12,0.99802,0,0,0,0,0,1,0.39477,6.0521e+06
