Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.7224,0.75269,-0.21315,-0.19968,0.78541,-0.022489,0,0,0,0,0,0,0.50456,3.6172e+08
2,-0.50931,0.51861,-0.52644,0.52898,-0.061758,-0.43635,0,0,0,0,0,0,-1.0967,9.3275e+07
3,0.18974,0.19502,-0.19754,-0.2073,-0.33746,-0.43536,0,0,0,0,0,0,-1.2827,2.1007e+07
4,1.3675,1.34,-1.3687,-1.3648,1.2854,0.069282,0,0,0,0,0,0,0.42846,1.2432e+08
5,-0.33681,-0.34508,0.33781,0.34241,0.6604,-1.0203,0,0,0,0,0,0,-2.3452,3.4484e+07
6,-0.41339,0.40606,0.40559,-0.42002,-0.0087588,0.42699,0,0,0,0,0,0,1.8516,4.9383e+07
