Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.54978,0.54978,-6.2082e-14,-1.0185e-14,3.6114e-13,6.8602e-15,0,0,0,0,0,0,0.86603,1.1335e+07
2,0.18913,-0.18913,0.76404,3.7269e-16,3.6271e-15,-1.7963e-15,0,0,0,0,0,0,0.86026,1.552e+07
3,5.9143e-15,1.222e-15,1.5174e-16,-0.31466,-0.31466,-0.31455,0,0,0,0,0,0,1,-2.7962e+06
4,-3.138e-15,-1.5251e-14,-5.4828e-14,0.97363,-0.97363,2.7665e-14,0,0,0,0,0,0,0.5,4.9341e+07
5,-2.5893e-14,-6.9797e-16,4.1546e-15,1.1417,1.1417,-2.2842,0,0,0,0,0,0,0.21669,7.823e+07
6,0.75307,-0.75307,-0.74979,-7.4319e-14,4.5391e-15,2.6006e-15,0,0,0,0,0,0,0.43467,5.6198e+07
