Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.34259,0.34477,0.35103,0.34218,0.37451,0.33761,0,0,0,0,0,0,0.52055,7.0513e+06
2,-0.57635,0.57339,-0.57249,0.56994,0.023578,0.0042901,0,0,0,0,0,0,0.44964,5.1187e+06
3,-0.1693,-0.16469,0.16676,0.16975,-0.51942,-0.47626,0,0,0,0,0,0,0.71534,3.1538e+07
4,-0.21903,-0.20868,0.20709,0.21371,-0.99039,0.96319,0,0,0,0,0,0,0.4377,5.3717e+07
5,-0.95623,-0.94495,0.93859,0.94564,0.010167,0.0083947,0,0,0,0,0,0,0.26249,1.4738e+07
6,-0.3998,0.39609,0.39843,-0.39829,-0.37029,0.37838,0,0,0,0,0,0,0.41845,6.4795e+06
