Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.99748,-2.2591e-10,0.0012579,1.1993e-10,1.0804e-09,2.471e-10,1,0,0,0,0,0,0.50095,4.9921e+06
2,-4.6749e-10,0.99783,-3.1166e-10,3.0297e-10,-1.9702e-09,-7.1683e-10,0,1,0,0,0,0,0.43301,5.6652e+06
3,1.41e-13,-2.9962e-14,0.99495,1.0903e-08,3.6975e-14,7.0082e-14,0,0,1,0,0,0,1,-25254
4,-2.6439e-12,-2.7394e-12,-6.7624e-09,0.99749,8.3663e-13,-3.1558e-12,0,0,0,1,0,0,0.5,4.9937e+06
5,3.5123e-10,-2.7952e-10,2.3416e-10,-4.5747e-10,0.99875,1.0824e-09,0,0,0,0,1,0,0.25,7.4984e+06
6,2.16e-10,-2.9094e-10,-2.3048e-10,-0.0015651,-7.2218e-10,0.99802,0,0,0,0,0,1,0.39545,6.0503e+06
