Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.65462,0.54321,0.063002,0.036767,-0.19293,0.20073,0,0,0,0,0,0,0.76603,1.5735e+08
2,-0.12951,0.77036,-0.76513,0.048054,-3.5792e-16,3.3045e-15,0,0,0,0,0,0,0.78274,3.8599e+08
3,-1.7674e-14,2.3135e-14,0.049919,-3.9033e-14,-0.45823,-0.51233,0,0,0,0,0,0,1.1133,9.4301e+07
4,9.9382e-14,-0.096154,2.0341e-14,-5.1386e-13,-0.95222,0.96927,0,0,0,0,0,0,0.61685,1.7733e+08
5,0.45768,-0.069383,0.062512,-0.35066,-1.0056e-16,-7.6589e-16,0,0,0,0,0,0,0.92174,8.7343e+08
6,-0.1374,0.77441,0.0023102,-0.72793,0.31421,0.40282,0,0,0,0,0,0,0.56472,2.058e+08
