Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,fval
1,0.99475,-3.2749e-11,0.0006625,1.6375e-11,0,1.0027e-27,1,0,0,0,0,0,9.0672e+05
2,-2.6722e-26,1.0484,4.364e-10,0.096398,0,5.9026e-18,0,1,0,0,0,0,1.3725e+07
3,-6.1171e-17,-2.5086e-09,0.999,1.2543e-09,-0.081607,7.6804e-26,0,0,1,0,0,0,7.6854e+06
4,-7.2806e-25,-0.051814,1.189e-08,0.8928,0,5.4668e-17,0,0,0,1,0,0,2.1373e+07
5,1.4959e-28,-1.8793e-10,-2.443e-12,9.3966e-11,1.0023,5.7537e-27,0,0,0,0,1,0,4.0232e+06
6,1.4451e-25,-0.14651,-2.3601e-09,-0.29331,0,0.86729,0,0,0,0,0,1,1.2566e+08
