Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.66667,0.66667,2.1955e-09,3.4271e-09,0.66667,-9.6765e-10,0,0,0,0,0,0,0.5,3.391e-09
2,-2.3421e-08,1.1547,-1.1547,2.334e-08,0.57735,-0.57735,0,0,0,0,0,0,0.28868,1.3501e-07
3,2.9961e-08,3.5068e-08,-2.923e-08,-3.1597e-08,-0.5,-0.5,0,0,0,0,0,0,1,2.2565e-07
4,1.5,1.4462,-1.5,-1.5,1.4731,-4.3296e-09,0,0,0,0,0,0,0.11576,5.9139e+07
5,2.3858e-09,3.6156e-09,-2.95e-09,-3.075e-09,1,-1,0,0,0,0,0,0,0.5,2.8261e-09
6,-3.0286e-08,0.8453,3.6961e-08,-0.8453,0.42265,0.42265,0,0,0,0,0,0,0.39434,2.884e-07
