Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.24162,0.24162,0.42337,0.42337,-0.32997,0.32997,0,0,0,0,0,0,0.50254,4.9874e+06
2,-0.0032356,0.85942,-0.85942,0.0032337,-1.2782e-08,3.7922e-10,0,0,0,0,0,0,0.68302,2.5422e+08
3,9.4936e-12,-2.0088e-11,-1.1831e-12,-2.3999e-11,-0.49747,-0.49748,0,0,0,0,0,0,1,-25254
4,2.0163e-08,-3.9172e-07,-2.4655e-07,2.2572e-08,-0.99748,0.99749,0,0,0,0,0,0,0.5,4.9937e+06
5,-0.58755,-1.0871,1.0869,0.58643,-0.00048559,0.00090904,0,0,0,0,0,0,0.20469,7.5702e+08
6,-0.49426,0.34937,0.49426,-0.34937,0.42142,0.42142,0,0,0,0,0,0,0.39477,6.0521e+06
