Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,fval
1,0.99967,-4.3521e-05,-0.00016515,-0.00032527,3.1372e-05,0.00011774,1,0,0,0,0,0,9.5279e+05
2,1.3604e-05,0.99866,-0.00032599,-7.2105e-06,-2.8495e-06,-1.0694e-05,0,1,0,0,0,0,1.4355e+06
3,-8.6428e-06,-0.00023792,0.9997,-0.0012346,1.0693e-05,4.0133e-05,0,0,1,0,0,0,1.4823e+06
4,-5.1339e-05,-0.00021411,0.00016131,0.99821,-2.8714e-05,-0.00010777,0,0,0,1,0,0,1.8845e+06
5,0.00047702,0.00046671,-1.8615e-05,3.7428e-05,0.066177,0.24837,0,0,0,0,1,0,9.3532e+08
6,0.00016468,-4.034e-05,7.5632e-05,-0.00020947,0.24864,0.93316,0,0,0,0,0,1,6.721e+07
