Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.99747,-1.1159e-10,-5.0753e-10,-0.0025254,6.4424e-11,6.3923e-11,1,0,0,0,0,0,0.50254,4.9874e+06
2,-7.1695e-07,0.74708,1.4233e-06,2.4556e-07,-0.43133,1.6691e-06,0,1,0,0,0,0,0.68302,2.5422e+08
3,-2.6833e-11,-2.2689e-11,0.99495,-3.1431e-06,1.3099e-11,-4.0016e-12,0,0,1,0,0,0,1,-25254
4,-4.4665e-07,-6.1815e-08,-7.8651e-06,0.99749,3.5689e-08,-4.0282e-07,0,0,0,1,0,0,0.5,4.9937e+06
5,-0.00095653,-0.433,5.2497e-05,0.0010162,0.25,0.00056305,0,0,0,0,1,0,0.20469,7.5702e+08
6,1.1083e-11,-4.4298e-10,0.00078108,-4.0253e-12,2.5575e-10,0.99802,0,0,0,0,0,1,0.39477,6.0521e+06
