Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.32441,0.32441,0.32441,0.32441,0.31772,0.31772,0,0,0,0,0,0,0.51038,4.9165e+07
2,-0.56426,0.56426,-0.56426,0.56426,-2.7207e-16,7.2866e-16,0,0,0,0,0,0,0.43301,5.6208e+07
3,1.4336e-13,2.5211e-13,4.1812e-14,-1.5554e-13,-0.47194,-0.47194,0,0,0,0,0,0,1,-2.7962e+06
4,4.9704e-14,-1.4986e-14,5.5781e-14,-3.3928e-14,-0.97363,0.97363,0,0,0,0,0,0,0.5,4.9341e+07
5,-0.98717,-0.98717,0.98717,0.98717,2.2126e-15,3.5486e-15,0,0,0,0,0,0,0.25,7.484e+07
6,-0.41371,0.41371,0.41371,-0.41371,-0.39704,0.39704,0,0,0,0,0,0,0.40652,5.9891e+07
