Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.29924,0.23787,0.46105,0.30354,0.3553,0.27948,0,0,0,0,0,0,0.67383,1.7213e+08
2,-0.50545,0.42009,-0.43638,0.6071,0.18525,-0.062042,0,0,0,0,0,0,0.59363,1.922e+08
3,3.2994e-15,0.051229,5.3825e-15,2.5933e-14,-0.53166,-0.58611,0,0,0,0,0,0,0.99312,1.0706e+08
4,-0.524,0.29405,-0.48375,0.59872,-1.0692,0.90326,0,0,0,0,0,0,0.38693,3.3824e+08
5,-1.0211,-0.81516,0.98575,0.99593,5.3478e-16,-0.0063205,0,0,0,0,0,0,0.36764,3.1752e+08
6,-0.65613,0.5749,0.27917,-0.11671,-0.24208,0.35933,0,0,0,0,0,0,0.60688,2.0245e+08
