Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.33218,0.33218,0.33218,0.33218,0.33176,0.00024851,0,0,0,0,0,0,0.70037,2.8149e+07
2,-0.52742,0.52742,-0.52742,0.52742,-0.00039458,-0.52676,0,0,0,0,0,0,0.44675,7.8413e+07
3,-0.017746,-0.017746,-0.017746,0.017746,-0.51749,-0.51749,0,0,0,0,0,0,0.96067,1.9226e+06
4,1.5,1.5,-1.5,-1.5,1.4981,0.0011222,0,0,0,0,0,0,0.10031,7.3747e+07
5,-0.009697,-0.009697,0.009697,0.009697,0.98832,-0.99801,0,0,0,0,0,0,0.49521,2.0006e+06
6,-0.41204,0.41204,0.41204,-0.41204,0.00030826,0.41152,0,0,0,0,0,0,0.57356,4.3923e+07
