Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,fval
1,-0.30709,0.30709,-0.30708,0.30708,5.152e-07,-5.1435e-07,0,0,0,0,0,0,3.7735e+05
2,0.53134,0.53135,0.53135,0.53134,0.36328,0.36328,0,0,0,0,0,0,1.3953e+06
3,-0.00017596,-0.00021066,-0.00021064,-0.00017596,0.49961,0.49963,0,0,0,0,0,0,4.9962e+05
4,-0.27672,0.27672,0.27672,-0.27672,-0.80909,0.80909,0,0,0,0,0,0,1.6182e+06
5,0.096837,0.096863,-0.096838,-0.096863,8.5912e-06,-8.6004e-06,0,0,0,0,0,0,9.3375e+08
6,0.36349,0.36349,-0.36349,-0.36349,1.9964e-06,-1.9979e-06,0,0,0,0,0,0,6.6816e+07
