Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,fval
1,0.33304,0.33304,0.33304,0.33304,0.47052,0.47052,0,0,0,0,0,0,8.8766e+05
2,-0.57253,0.57253,-0.57347,0.57347,-0.0043903,0.0043903,0,0,0,0,0,0,1.3233e+06
3,0.0002218,0.0002218,0.0002218,0.0002218,-0.70609,-0.70609,0,0,0,0,0,0,9.9856e+05
4,-1.139,1.139,-1.1423,1.1423,1.3988,-1.3988,0,0,0,0,0,0,9.2249e+06
5,-0.99602,-0.99602,0.99602,0.99602,9.9806e-10,-7.0958e-10,0,0,0,0,0,0,3.9841e+06
6,-0.90339,0.90339,-0.060089,0.060089,0.5908,-0.5908,0,0,0,0,0,0,2.3595e+06
