Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.92356,0.00022957,-0.043957,-0.1561,0.06951,0.0024303,1,0,0,0,0,0,0.71424,4.1384e+07
2,-0.0041075,0.85733,-0.0049093,-0.2483,-0.013334,0.002444,0,1,0,0,0,0,0.45724,8.6447e+07
3,-0.001783,0.0059574,1.0027,0.20993,-0.014327,-0.010206,0,0,1,0,0,0,0.54932,5.1789e+07
4,-0.06953,-0.038577,-0.0037732,0.34838,-0.051615,-0.04148,0,0,0,1,0,0,0.17543,4.7954e+08
5,-0.00045956,-0.0033258,-0.0013275,-0.20036,1.0057,0.00063268,0,0,0,0,1,0,0.37673,4.4454e+07
6,0.00080653,4.3971e-05,0.025555,-0.20523,-0.027698,0.97784,0,0,0,0,0,1,0.58401,4.8519e+07
