Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.98704,0.0075317,-0.033123,0.013682,-0.0021505,0.0049178,1,0,0,0,0,0,0.48719,8.3044e+06
2,-0.00074604,0.98539,0.030615,-0.019229,-0.0019691,-0.0028458,0,1,0,0,0,0,-30.872,5.5087e+06
3,-0.0053165,0.0050152,1.0145,-0.029365,-0.049068,0.0090969,0,0,1,0,0,0,-0.9217,1.0069e+07
4,-0.045284,-0.026314,-0.024707,1.0026,-0.017743,-0.026201,0,0,0,1,0,0,-13.094,1.1843e+07
5,-0.00021876,-0.0032249,0.0049116,-0.037783,0.81697,-0.0029791,0,0,0,0,1,0,-145.38,4.0242e+07
6,-0.00079292,0.0043686,0.013879,0.077581,0.00010274,0.89717,0,0,0,0,0,1,-64.165,2.0728e+07
