Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.97245,0,-2.7772e-10,-0.000647,0,1.9809e-17,1,0,0,0,0,0,0.50067,1.3893e+06
2,1.899e-25,0.77022,-3.1013e-09,3.7199e-09,-0.44469,2.2778e-25,0,1,0,0,0,0,0.68301,2.5134e+08
3,-6.1202e-17,0,0.9995,-1.5135e-10,0,-9.2676e-27,0,0,1,0,0,0,0.2193,3.6648e+06
4,-1.6875e-26,0,2.7559e-10,0.998,0,6.111e-17,0,0,0,1,0,0,0.19897,4.2757e+06
5,-8.3267e-17,-0.46804,2.8872e-07,5.6701e-07,0.27023,8.3267e-17,0,0,0,0,1,0,0.68301,7.5193e+08
6,5.2215e-17,0,0.00042637,-4.1527e-11,0,1.0093,0,0,0,0,0,1,0.39457,1.1784e+06
