Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,fval
1,0.99962,1.8954e-10,7.0922e-10,-1.0375e-09,-6.0536e-11,-2.272e-10,1,0,0,0,0,0,3.7735e+05
2,3.9238e-09,0.9986,-0.00036328,-8.5658e-10,-9.6882e-10,-3.6361e-09,0,1,0,0,0,0,1.3953e+06
3,-2.4216e-08,-0.00036329,0.9995,-1.7911e-08,-3.0037e-09,-1.1273e-08,0,0,1,0,0,0,4.9962e+05
4,4.1423e-10,7.1831e-11,3.3884e-10,0.99838,-4.951e-11,-1.8582e-10,0,0,0,1,0,0,1.6182e+06
5,8.4656e-09,-2.0324e-08,5.5523e-09,-2.5588e-09,0.066249,0.24864,0,0,0,0,1,0,9.3375e+08
6,7.3114e-10,6.3575e-11,-1.5248e-09,3.0087e-09,0.24864,0.93318,0,0,0,0,0,1,6.6816e+07
