Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,1,3.7991e-09,4.2825e-10,3.2053e-09,-0.00013183,-1.2948e-08,1,0,0,0,0,0,0.86568,86586
2,3.4899e-08,1,-7.9273e-10,-3.227e-08,0.00011901,9.1379e-08,0,1,0,0,0,0,0.8179,81804
3,-1.3042e-09,2.309e-09,1,-5.679e-10,3.332e-10,-6.1588e-05,0,0,1,0,0,0,0.99992,99996
4,-1.7423e-09,-4.3357e-09,-2.1628e-09,1,4.3348e-06,-7.6117e-06,0,0,0,1,0,0,0.5,50000
5,1.5062e-09,-1.8712e-08,-2.718e-08,-9.8525e-10,1,3.5461e-06,0,0,0,0,1,0,0.2165,21650
6,-1.5607e-09,-1.3603e-08,-1.5013e-09,-7.0454e-10,2.6729e-05,1,0,0,0,0,0,1,0.433,43300
