Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.99761,-3.7002e-11,0.0013135,3.5393e-10,4.588e-10,1.6322e-10,1,0,0,0,0,0,0.47645,5.2378e+06
2,-1.9521e-10,0.99783,-1.7518e-10,-0.00033644,-3.3523e-10,-0.0001422,0,1,0,0,0,0,0.43325,5.665e+06
3,6.3672e-17,1.1305e-10,0.99563,-9.7905e-11,-1.4168e-17,2.4994e-17,0,0,1,0,0,0,0.86603,1.3208e+06
4,2.2847e-10,-0.00046765,-4.23e-11,0.99899,1.7154e-10,-0.00042588,0,0,0,1,0,0,0.20122,7.989e+06
5,5.7239e-11,-1.8742e-10,3.8159e-11,6.4929e-11,0.99875,-1.5363e-10,0,0,0,0,1,0,0.25,7.4984e+06
6,-4.1196e-10,-1.407e-10,4.1455e-10,-0.0016346,-2.9203e-10,0.99811,0,0,0,0,0,1,0.37615,6.2438e+06
