Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.66667,0.66667,3.0141e-08,2.5164e-08,0.66667,6.42e-09,0,0,0,0,0,0,0.5,1.957e-07
2,-4.2997e-08,1.1547,-1.1547,3.9712e-08,0.57735,-0.57735,0,0,0,0,0,0,0.28868,4.199e-07
3,1.7516e-08,3.2954e-08,-3.7401e-08,-1.1133e-08,-0.5,-0.5,0,0,0,0,0,0,1,1.9078e-06
4,2,2,-2,-2,2,-2.3982e-09,0,0,0,0,0,0,0.1,9.8097e-07
5,-1.5876e-07,-1.7946e-07,1.6178e-07,1.5092e-07,1,-1,0,0,0,0,0,0,0.5,5.9598e-06
6,-3.438e-08,0.8453,2.602e-08,-0.8453,0.42265,0.42265,0,0,0,0,0,0,0.39434,3.3714e-07
