Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.82969,-0.15539,0.025383,-0.086099,-0.14432,0.086482,1,0,0,0,0,0,0.7291,2.4256e+08
2,-0.034251,0.85596,-0.0493,0.17216,0.066,0.19692,0,1,0,0,0,0,0.81914,2.0439e+08
3,0.0091801,0.017891,0.94513,0.10148,0.10381,0.091253,0,0,1,0,0,0,1.1033,4.911e+07
4,0.0013025,-0.021356,0.076272,0.73758,-0.28226,0.19984,0,0,0,1,0,0,0.51303,3.1199e+08
5,-0.012926,-0.0061229,0.067791,-0.23477,0.63954,0.20297,0,0,0,0,1,0,0.34217,3.9674e+08
6,0.0082337,0.013662,-0.090433,0.22929,0.25514,0.82701,0,0,0,0,0,1,0.45722,1.9909e+08
