Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.57735,0.57735,1.2922e-08,-0.00015223,-0.00015223,0.00030446,0,0,0,0,0,0,0.86568,86586
2,0.22224,-0.22224,0.77775,0.00013739,0.00013746,-0.00027485,0,0,0,0,0,0,0.8179,81804
3,-4.7411e-05,4.741e-05,4.7413e-05,-0.33337,-0.33337,-0.33326,0,0,0,0,0,0,0.99992,99996
4,-5.8615e-06,5.8595e-06,5.8561e-06,1,-0.99999,-1.001e-05,0,0,0,0,0,0,0.5,50000
5,2.7265e-06,-2.7248e-06,-2.7444e-06,1.1547,1.1547,-2.3095,0,0,0,0,0,0,0.2165,21650
6,0.76981,-0.76981,-0.76981,3.0864e-05,3.0866e-05,-6.1728e-05,0,0,0,0,0,0,0.433,43300
