Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.99563,2.1871e-10,7.2469e-17,1.3408e-17,-1.7132e-17,2.2097e-10,1,0,0,0,0,0,0.86603,1.3208e+06
2,3.8631e-11,0.99586,2.7817e-17,-2.0448e-17,-1.4668e-17,-0.0026066,0,1,0,0,0,0,0.82166,1.7947e+06
3,-1.2178e-16,-4.8456e-17,0.99495,2.1616e-11,-3.7768e-10,-3.0624e-17,0,0,1,0,0,0,1,-25254
4,-1.2375e-16,4.6272e-17,1.9622e-10,0.99749,-2.8314e-11,9.8237e-17,0,0,0,1,0,0,0.5,4.9937e+06
5,-3.8367e-16,-3.1565e-16,7.8327e-05,-8.4939e-10,0.99892,-5.2978e-17,0,0,0,0,1,0,0.21652,7.8338e+06
6,-1.2196e-10,0.00031383,-1.0725e-16,-3.5451e-17,9.2056e-17,0.99783,0,0,0,0,0,1,0.43316,5.6651e+06
