Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,fval
1,-0.64839,0.64843,0.034138,-0.034276,0.2337,-0.23389,0,0,0,0,0,0,9.5279e+05
2,0.62158,0.44116,0.44116,0.6216,0.30162,0.42502,0,0,0,0,0,0,1.4355e+06
3,-0.44561,0.44539,0.44536,-0.44565,0.80574,0.19379,0,0,0,0,0,0,1.4823e+06
4,-0.50905,0.50874,0.50886,-0.509,-0.65009,0.6501,0,0,0,0,0,0,1.8845e+06
5,0.66065,-0.46666,-0.66044,0.46745,-0.38554,0.38586,0,0,0,0,0,0,9.3532e+08
6,0.080729,0.64619,-0.080874,-0.64613,0.1936,-0.19355,0,0,0,0,0,0,6.721e+07
