Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.97832,-0.055554,0.094173,0.055554,0.055554,0.055554,1,0,0,0,0,0,0.69516,1.6554e+08
2,0.078058,0.97829,0.052039,-0.034512,0.067651,0.081657,0,1,0,0,0,0,0.57196,1.9655e+08
3,0.037439,0.021616,0.99552,-0.03953,0.01248,-0.029528,0,0,1,0,0,0,1.1133,9.4301e+07
4,0.072115,-0.041636,-0.065129,0.98478,-0.024038,-0.056875,0,0,0,1,0,0,0.61685,1.7733e+08
5,0.1061,-0.09657,0.082269,0.054158,0.95454,-0.1145,0,0,0,0,1,0,0.36769,3.1743e+08
6,0.060452,0.060452,0.060452,-0.13493,0.060452,0.96602,0,0,0,0,0,1,0.61598,1.9632e+08
