Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,1,-3.8554e-09,-5.0836e-11,-1.2844e-08,-3.9062e-09,6.2094e-10,1,0,0,0,0,0,0.5,1.957e-07
2,-6.305e-09,1,3.3734e-10,-1.9397e-08,1.6152e-09,-1.0862e-09,0,1,0,0,0,0,0.28868,4.199e-07
3,1.4523e-09,1.8059e-08,1,8.2739e-09,3.5534e-08,-6.406e-09,0,0,1,0,0,0,1,1.9078e-06
4,-6.0232e-09,-5.2466e-09,1.2507e-09,1,2.244e-09,-6.0522e-09,0,0,0,1,0,0,0.1,9.8097e-07
5,-1.914e-08,-1.3666e-08,-2.0676e-10,-7.3e-08,1,-5.8244e-09,0,0,0,0,1,0,0.5,5.9598e-06
6,-2.7891e-09,5.6297e-09,-2.4843e-09,-1.626e-08,3.678e-09,1,0,0,0,0,0,1,0.39434,3.3714e-07
