Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.97628,-0.056867,0.10111,-0.056867,0.056867,0.056867,1,0,0,0,0,0,0.67383,1.7213e+08
2,0.064019,0.97625,-0.064019,-0.077596,0.064019,-0.069758,0,1,0,0,0,0,0.59363,1.922e+08
3,0.038422,0.04941,0.99364,-0.036387,-0.012807,0.030302,0,0,1,0,0,0,0.99312,1.0706e+08
4,-0.08623,-0.16328,0.08623,0.9202,0.08623,-0.1564,0,0,0,1,0,0,0.38693,3.3824e+08
5,0.10909,0.096733,0.0782,-0.051671,0.95448,0.11578,0,0,0,0,1,0,0.36764,3.1752e+08
6,0.060923,0.060923,-0.060923,-0.14631,0.060923,0.96233,0,0,0,0,0,1,0.60688,2.0245e+08
