Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,fval
1,0.33938,0.33938,0.33938,0.33938,0.47948,0.47948,0,0,0,0,0,0,1.2503e+06
2,-0.567,0.567,-0.567,0.567,-0.010136,0.010136,0,0,0,0,0,0,1.3505e+06
3,-0.0065035,0.0065035,-0.0065035,0.0065035,-0.70003,-0.71277,0,0,0,0,0,0,1.0246e+06
4,-1.0189,1.0189,-1.0189,1.0189,1.2801,-1.2801,0,0,0,0,0,0,1.8501e+07
5,-0.94548,-0.94548,0.94548,0.94548,-1.4783e-10,-4.0414e-10,0,0,0,0,0,0,6.5479e+06
6,-0.38081,0.38081,0.38081,-0.38081,0.10762,-0.10762,0,0,0,0,0,0,1.2642e+08
