Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.59013,0.57771,0.062058,0.065162,0.57151,8.1825e-15,0,0,0,0,0,0,0.55238,4.8341e+07
2,-0.019517,1.1176,-1.1196,0.017565,0.54027,-0.55978,0,0,0,0,0,0,0.29792,7.0759e+07
3,3.845e-13,5.5058e-13,2.0283e-13,-1.6554e-13,-0.47194,-0.47194,0,0,0,0,0,0,1,-2.7962e+06
4,1.9892,1.9868,-1.9885,-1.9888,1.9877,8.2956e-12,0,0,0,0,0,0,0.10049,8.997e+07
5,-2.2005e-13,-3.8495e-15,2.1975e-13,-2.5046e-13,0.97363,-0.97363,0,0,0,0,0,0,0.5,4.9341e+07
6,-0.037454,0.78978,0.033708,-0.79353,0.37195,0.4094,0,0,0,0,0,0,0.41445,5.9789e+07
