Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,1,-1.1102e-16,-5.5511e-17,5.5511e-17,2.7756e-17,8.3267e-17,1,0,0,0,0,0,0.5,50000
2,-6.1162e-34,1,9.9885e-18,2.0337e-15,-5.5511e-17,5.5511e-17,0,1,0,0,0,0,0.43301,43301
3,-1.5306e-16,8.6153e-17,1,0,-0.00017566,1.0925e-16,0,0,1,0,0,0,0.99947,99978
4,1.5633e-17,3.3271e-18,0,1,3.8682e-05,5.5229e-17,0,0,0,1,0,0,0.49998,50000
5,3.6901e-33,0,-4.7536e-18,-2.5372e-16,0.99999,-1.5536e-32,0,0,0,0,1,0,0.25,25000
6,6.163e-33,2.7756e-17,-5.5511e-17,9.463e-12,-3.0531e-16,1,0,0,0,0,0,1,0.39434,39434
