Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.96945,0.027,0.067173,-0.12051,-0.076114,-0.063739,1,0,0,0,0,0,0.83965,1.4965e+08
2,-0.088371,0.9442,-0.065103,-0.13491,-0.13491,0.065103,0,1,0,0,0,0,0.5361,2.4233e+08
3,0.037439,0.021616,0.99552,-0.01248,0.03953,0.029528,0,0,1,0,0,0,1.1133,9.4301e+07
4,-0.18179,-0.19107,0.15177,0.82161,-0.12176,-0.19787,0,0,0,1,0,0,0.24651,5.8405e+08
5,0.072115,-0.041636,0.065129,-0.024038,0.98478,0.056875,0,0,0,0,1,0,0.61685,1.7733e+08
6,-0.076625,-0.052613,0.090187,-0.11614,-0.0495,0.96614,0,0,0,0,0,1,0.65072,1.8753e+08
