Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.66102,0.66102,0.0039636,0.0039636,-0.32997,0.32997,0,0,0,0,0,0,0.50254,4.9874e+06
2,-0.0023981,0.86027,-0.86027,0.0023981,1.7729e-15,2.436e-15,0,0,0,0,0,0,0.68301,2.5422e+08
3,-6.9197e-17,3.7517e-17,9.7766e-17,-8.0012e-17,-0.49747,-0.49747,0,0,0,0,0,0,1,-25254
4,-1.0065e-16,-2.115e-16,-1.5986e-16,-2.2552e-16,-0.99749,0.99749,0,0,0,0,0,0,0.5,4.9937e+06
5,0.0062617,-0.48331,0.48331,-0.0062617,3.7317e-15,-2.5734e-15,0,0,0,0,0,0,0.68301,7.499e+08
6,-0.00035233,0.84327,0.00035233,-0.84327,0.42142,0.42142,0,0,0,0,0,0,0.39477,6.0521e+06
