Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,1,-3.6521e-13,4.3263e-13,-9.3703e-13,0.00014753,4.4832e-13,1,0,0,0,0,0,0.86564,86586
2,3.0324e-10,1,-1.1177e-11,-2.161e-10,-0.00012124,1.7683e-10,0,1,0,0,0,0,0.81789,81804
3,6.1426e-13,8.551e-17,1,-6.2034e-14,-1.9906e-13,6.7108e-05,0,0,1,0,0,0,0.99991,99996
4,2.9085e-09,1.9242e-09,2.7537e-10,1,6.02e-06,1.1685e-05,0,0,0,1,0,0,0.5,50000
5,2.1281e-13,2.1527e-13,-5.8131e-13,-1.1278e-12,1,-4.3217e-11,0,0,0,0,1,0,0.2165,21650
6,-2.206e-08,-1.0602e-08,1.4195e-09,-1.9394e-09,-2.8716e-05,1,0,0,0,0,0,1,0.433,43300
