Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,1,2.5399e-13,-2.7104e-12,6.3899e-13,-1.4665e-13,-4.6427e-13,1,0,0,0,0,0,0.5,8.3613e-15
2,4.0958e-09,0.75,-1.016e-09,6.6773e-09,-0.43301,-1.7177e-09,0,1,0,0,0,0,0.68301,2.5e+08
3,-7.1249e-13,-4.5908e-14,1,-1.0508e-13,2.6507e-14,6.4715e-13,0,0,1,0,0,0,0.22006,2.796e-15
4,1.3212e-14,-6.789e-14,3.1974e-14,1,3.9191e-14,-1.2451e-13,0,0,0,1,0,0,0.15585,5.7055e-17
5,3.5945e-09,-0.43301,-1.0142e-09,-3.5242e-11,0.25,-5.0495e-09,0,0,0,0,1,0,0.68301,7.5e+08
6,2.3e-15,1.2226e-14,-1.4599e-14,4.2022e-14,-7.0707e-15,1,0,0,0,0,0,1,0.39434,2.1877e-18
