Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.33322,0.33325,0.33333,0.33353,0.3332,0.33332,0,0,0,0,0,0,0.50031,1.9994e+05
2,-0.57734,0.57748,-0.57745,0.57713,5.4136e-06,1.2649e-16,0,0,0,0,0,0,0.43324,2.3088e+05
3,6.5553e-05,-1.4236e-13,3.0162e-13,4.3284e-13,-0.49992,-0.50005,0,0,0,0,0,0,1.0001,99993
4,7.9688e-14,4.6926e-15,-0.00015253,4.863e-14,-0.99995,0.99997,0,0,0,0,0,0,0.50019,1.9996e+05
5,-0.99991,-0.99995,1.0003,0.99986,-5.7626e-16,-4.9763e-05,0,0,0,0,0,0,0.25023,3.9981e+05
6,-0.42289,0.42255,0.42266,-0.42249,-0.4224,0.42244,0,0,0,0,0,0,0.3947,2.5347e+05
