Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.99563,4.8201e-10,4.5702e-14,1.003e-13,-2.0634e-14,4.8698e-10,1,0,0,0,0,0,0.86603,1.3208e+06
2,1.3784e-08,0.99586,-4.9873e-14,-3.1025e-14,5.35e-15,-0.0026066,0,1,0,0,0,0,0.82166,1.7947e+06
3,-1.185e-13,3.0235e-14,0.99495,6.3696e-09,-8.3797e-09,-6.771e-14,0,0,1,0,0,0,1,-25254
4,-4.203e-14,-1.2265e-14,-8.6625e-10,0.99749,1.2501e-10,-1.8505e-14,0,0,0,1,0,0,0.5,4.9937e+06
5,3.3926e-16,2.1035e-15,7.8327e-05,-7.188e-10,0.99892,2.7496e-15,0,0,0,0,1,0,0.21652,7.8338e+06
6,-4.995e-09,0.00031382,9.5803e-15,-1.4819e-15,1.26e-15,0.99783,0,0,0,0,0,1,0.43316,5.6651e+06
