Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.33611,0.34101,0.34247,0.34186,0.36211,0.41673,0,0,0,0,0,0,0.50466,5.3063e+06
2,-0.57714,0.58678,-0.57116,0.58242,-0.028974,0.039115,0,0,0,0,0,0,0.42766,1.0034e+07
3,-0.086705,-0.081011,0.072933,0.081799,-0.55804,-0.5684,0,0,0,0,0,0,0.74294,1.4067e+07
4,-0.59473,0.59314,-0.591,0.59272,-1.0378,1.085,0,0,0,0,0,0,0.22179,1.4747e+07
5,-0.83975,-0.84005,0.83955,0.83524,0.0062587,-0.033279,0,0,0,0,0,0,0.26563,3.2233e+07
6,-0.37137,0.38389,0.37417,-0.3709,-0.22112,0.21901,0,0,0,0,0,0,0.67586,1.0016e+08
