Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,fval
1,-0.64643,0.64601,0.031936,-0.031841,0.23195,-0.23187,0,0,0,0,0,0,9.45e+05
2,0.80222,0.26018,0.26018,0.80216,0.17715,0.54895,0,0,0,0,0,0,1.7587e+06
3,-0.14493,0.14461,0.14452,-0.14485,0.59874,0.40053,0,0,0,0,0,0,6.0308e+05
4,-0.0098275,0.0096074,0.0095608,-0.0097799,-0.99212,0.99175,0,0,0,0,0,0,1.9704e+06
5,0.41054,-0.2166,-0.41025,0.21695,-0.21426,0.2146,0,0,0,0,0,0,9.3424e+08
6,0.57842,0.14821,-0.57873,-0.14859,-0.14721,0.14694,0,0,0,0,0,0,6.7044e+07
