Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.95695,0.0011794,-0.012202,-0.031615,-0.00068094,0.00090463,1,0,0,0,0,0,0.70955,4.6365e+06
2,0.0020424,0.49663,-0.0052333,-0.016139,-0.28673,0.0091582,0,1,0,0,0,0,12.723,6.6883e+08
3,0.00023687,0.0021719,0.99744,-0.0064749,-0.0012539,-0.00086808,0,0,1,0,0,0,-0.99338,2.4997e+06
4,-0.0049039,0.00040267,-0.030678,0.99967,-0.00023248,-0.0033546,0,0,0,1,0,0,45.104,5.4925e+06
5,-0.0012927,-0.18561,0.0020125,-0.0023407,0.10716,-0.0033907,0,0,0,0,1,0,12.641,9.5803e+08
6,0.0092734,-0.0023613,-0.0029518,-0.00033282,0.0013633,1.0002,0,0,0,0,0,1,1.1678,5.2079e+06
