Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,1.0354,-0.0028895,-0.021847,-0.021207,0.0014618,0.0065232,1,0,0,0,0,0,0.52055,7.0513e+06
2,-0.004127,0.99253,-0.03062,-0.011472,0.00010235,0.004324,0,1,0,0,0,0,0.44964,5.1187e+06
3,0.0018917,0.0032884,0.99694,0.021175,0.16763,0.00096002,0,0,1,0,0,0,0.71534,3.1538e+07
4,-0.0051757,0.0073494,0.023751,0.97586,0.21213,0.002208,0,0,0,1,0,0,0.4377,5.3717e+07
5,-0.012719,0.0079368,-0.027041,-0.0019438,0.94635,0.0025017,0,0,0,0,1,0,0.26249,1.4738e+07
6,-0.0026745,-0.00035775,-0.0098687,-0.023818,0.00096194,0.94204,0,0,0,0,0,1,0.41845,6.4795e+06
