Solution,Frx,Fry,Frz,Mrx,Mry,Mrz,Frx target,Fry target,Frz target,Mrx target,Mry target,Mrz target,Efficiency,fval
1,0.7967,0.018948,-0.032113,0.095635,0.03181,0.0099467,1,0,0,0,0,0,0.50456,3.6172e+08
2,0.0088841,0.90212,-0.024954,-0.25762,-0.078884,-0.01626,0,1,0,0,0,0,-1.0967,9.3275e+07
3,-0.015064,-0.0019418,0.97008,0.099893,-0.0448,0.0088905,0,0,1,0,0,0,-1.2827,2.1007e+07
4,-0.019564,-0.010233,-0.002868,0.69027,-0.069787,-0.018566,0,0,0,1,0,0,0.42846,1.2432e+08
5,-0.0012458,-0.001589,0.016607,-0.16799,1.0096,-0.0076105,0,0,0,0,1,0,-2.3452,3.4484e+07
6,-0.01633,-0.0026674,-0.0090898,-0.20125,-0.0096361,0.97306,0,0,0,0,0,1,1.8516,4.9383e+07
