Solution,F1,F2,F3,F4,F5,F6,F1 target,F2 target,F3 target,F4 target,F5 target,F6 target,Efficiency,fval
1,0.65992,0.65883,0.0054694,0.0057431,0.65828,4.891e-13,0,0,0,0,0,0,0.50433,4.9853e+06
2,-0.001861,1.1512,-1.1514,0.0016749,0.57381,-0.57568,0,0,0,0,0,0,0.28954,7.1097e+06
3,9.2157e-14,3.2516e-13,2.8523e-13,-7.291e-14,-0.49747,-0.49747,0,0,0,0,0,0,1,-25254
4,1.9989,1.9987,-1.9989,-1.9989,1.9988,2.5343e-13,0,0,0,0,0,0,0.10005,8.9997e+06
5,-3.1795e-13,-4.1752e-13,2.0229e-13,-1.0245e-13,0.99749,-0.99749,0,0,0,0,0,0,0.5,4.9937e+06
6,-0.0034811,0.84014,0.003133,-0.84049,0.41794,0.42142,0,0,0,0,0,0,0.39614,6.0494e+06
